"","_id","measure_id","measure_name","interval_type","value_type","measure_value","year_to_date_variance","budget_variance","decimal_accuracy","desired_direction","category","data_source_notes","city_perspective_note","year","period_number_in_year","target","note"
"1",1,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",163,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,1,NA,NA
"2",2,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",197,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,2,NA,NA
"3",3,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",219,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,3,NA,NA
"4",4,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",235,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,4,NA,NA
"5",5,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",253,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,5,NA,NA
"6",6,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",221,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,6,NA,NA
"7",7,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",215,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,7,NA,NA
"8",8,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",177,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,8,NA,NA
"9",9,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",188,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,9,NA,NA
"10",10,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",230,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,10,NA,NA
"11",11,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",188,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,11,NA,NA
"12",12,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",160,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,12,NA,NA
"13",13,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",163,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,1,NA,NA
"14",14,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",160,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,2,NA,NA
"15",15,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",207,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,3,NA,NA
"16",16,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",238,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,4,NA,NA
"17",17,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",263,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,5,NA,NA
"18",18,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",220,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,6,NA,NA
"19",19,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",224,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,7,NA,NA
"20",20,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",211,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,8,NA,NA
"21",21,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",209,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,9,NA,NA
"22",22,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",208,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,10,NA,NA
"23",23,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",192,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,11,NA,NA
"24",24,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",202,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,12,NA,NA
"25",25,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",195,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,1,NA,NA
"26",26,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",175,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,2,NA,NA
"27",27,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",175,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,3,NA,NA
"28",28,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",109,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,4,NA,NA
"29",29,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",112,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,5,NA,NA
"30",30,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",132,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,6,NA,NA
"31",31,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",119,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,7,NA,NA
"32",32,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",110,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,8,NA,NA
"33",33,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",133,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,9,NA,NA
"34",34,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",119,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,10,NA,NA
"35",35,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",144,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,11,NA,NA
"36",36,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",152,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,12,NA,NA
"37",37,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",96,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,1,NA,NA
"38",38,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",101,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,2,NA,NA
"39",39,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",123,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,3,NA,NA
"40",40,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",133,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,4,NA,NA
"41",41,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",105,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,5,NA,NA
"42",42,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",136,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,6,NA,NA
"43",43,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",106,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,7,NA,NA
"44",44,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",121,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,8,NA,NA
"45",45,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",100,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,9,NA,NA
"46",46,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",108,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,10,NA,NA
"47",47,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",127,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,11,NA,NA
"48",48,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",117,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,12,NA,NA
"49",49,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",70,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,1,NA,NA
"50",50,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",81,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,2,NA,NA
"51",51,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",122,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,3,NA,NA
"52",52,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",110,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,4,NA,NA
"53",53,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",120,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,5,NA,NA
"54",54,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",120,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,6,NA,NA
"55",55,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",95,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,7,NA,NA
"56",56,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",111,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,8,NA,NA
"57",57,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",117,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,9,NA,NA
"58",58,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",94,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,10,NA,NA
"59",59,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",140,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,11,NA,NA
"60",60,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",99,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,12,NA,NA
"61",61,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",95,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,1,NA,NA
"62",62,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",99,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,2,NA,NA
"63",63,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",95,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,3,NA,NA
"64",64,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",124,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,4,NA,NA
"65",65,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",145,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,5,NA,NA
"66",66,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",133,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,6,NA,NA
"67",67,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",126,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,7,NA,NA
"68",68,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",143,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,8,NA,NA
"69",69,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",111,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,9,NA,"Higher interest rates and inflation adding to increase borrowing cost and cost of living expenses."
"70",70,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",125,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,10,NA,NA
"71",71,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",140,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,11,NA,NA
"72",72,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",123,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2023,12,NA,NA
"73",73,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",137,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2024,1,NA,NA
"74",74,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",129,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2024,2,NA,"Continued higher interest rates and inflation adding to increase borrowing cost and cost of living expenses."
"75",75,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",145,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2024,3,NA,NA
"76",76,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",173,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2024,4,NA,NA
"77",77,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",197,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2024,5,NA,"The increase in insolvencies is a result of a combination of pandemic-related debt, economic pressures, and the end of government support measures. These factors have created a challenging environment for both consumers and businesses in Toronto. (ISED-ISDE Canada)."
"78",78,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",158,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2024,6,NA,NA
"79",79,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",130,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2024,7,NA,NA
"80",80,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",151,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2024,8,NA,"Continued challenging environment for consumers with high debt levels and softening labour market."
"81",81,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",124,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2024,9,NA,NA
"82",82,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",12,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,1,NA,NA
"83",83,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",14,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,2,NA,NA
"84",84,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",18,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,3,NA,NA
"85",85,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",13,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,4,NA,NA
"86",86,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",25,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,5,NA,NA
"87",87,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",14,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,6,NA,NA
"88",88,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",18,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,7,NA,NA
"89",89,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",15,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,8,NA,NA
"90",90,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",17,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,9,NA,NA
"91",91,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",17,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,10,NA,NA
"92",92,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",15,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,11,NA,NA
"93",93,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",11,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,12,NA,NA
"94",94,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",12,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,1,NA,NA
"95",95,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",11,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,2,NA,NA
"96",96,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",21,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,3,NA,NA
"97",97,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",20,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,4,NA,NA
"98",98,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",21,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,5,NA,NA
"99",99,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",4,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,6,NA,NA
"100",100,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",12,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,7,NA,NA
"101",101,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",14,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,8,NA,NA
"102",102,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",17,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,9,NA,NA
"103",103,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",9,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,10,NA,NA
"104",104,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",14,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,11,NA,NA
"105",105,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",10,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,12,NA,NA
"106",106,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",14,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,1,NA,NA
"107",107,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",8,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,2,NA,NA
"108",108,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",15,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,3,NA,NA
"109",109,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",16,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,4,NA,NA
"110",110,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",22,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,5,NA,NA
"111",111,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",9,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,6,NA,NA
"112",112,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",12,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,7,NA,NA
"113",113,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",13,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,8,NA,NA
"114",114,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",19,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,9,NA,NA
"115",115,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",16,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,10,NA,NA
"116",116,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",10,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,11,NA,NA
"117",117,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",16,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2020,12,NA,NA
"118",118,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",14,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,1,NA,NA
"119",119,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",3,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,2,NA,NA
"120",120,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",11,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,3,NA,NA
"121",121,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",8,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,4,NA,NA
"122",122,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",2,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,5,NA,NA
"123",123,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",9,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,6,NA,NA
"124",124,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",9,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,7,NA,NA
"125",125,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",11,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,8,NA,NA
"126",126,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",14,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,9,NA,NA
"127",127,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",19,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,10,NA,NA
"128",128,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",10,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,11,NA,NA
"129",129,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",24,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2021,12,NA,NA
"130",130,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",16,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,1,NA,NA
"131",131,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",18,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,2,NA,NA
"132",132,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",13,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,3,NA,NA
"133",133,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",13,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,4,NA,NA
"134",134,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",11,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,5,NA,NA
"135",135,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",15,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,6,NA,NA
"136",136,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",13,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,7,NA,NA
"137",137,1.121,"Number of Business Bankruptcies for the City of Toronto","m","n",16,0.05,NA,0,"Down","Economy","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2022,8,NA,NA
